NCM;inicio_vigencia;fim_vigencia;uTrib_abreviatura;Descricao_uTrib;
04081100;01/01/2016;;KG;Quilograma;
04081900;01/01/2016;;KG;Quilograma;
04089100;01/01/2016;;KG;Quilograma;
04089900;01/01/2016;;KG;Quilograma;
04090000;01/01/2016;;KG;Quilograma;
04101000;01/04/2022;;KG;Quilograma;
04109000;01/04/2022;;KG;Quilograma;
05010000;01/01/2016;;KG;Quilograma;
05021011;01/01/2016;;KG;Quilograma;
05021019;01/01/2016;;KG;Quilograma;
05021090;01/01/2016;;KG;Quilograma;
05029010;01/01/2016;;KG;Quilograma;
05029020;01/01/2016;;KG;Quilograma;
05040011;01/01/2016;;KG;Quilograma;
05040012;01/01/2016;;KG;Quilograma;
05040013;01/01/2016;;KG;Quilograma;
05040019;01/01/2016;;KG;Quilograma;
05040090;01/01/2016;;KG;Quilograma;
05051000;01/01/2016;;KG;Quilograma;
05059000;01/01/2016;;KG;Quilograma;
05061000;01/01/2016;;KG;Quilograma;
05069000;01/01/2016;;KG;Quilograma;
05071000;01/01/2016;;KG;Quilograma;
05079000;01/01/2016;;KG;Quilograma;
05080000;01/01/2016;;KG;Quilograma;
05100010;01/01/2016;;KG;Quilograma;
05100090;01/01/2016;;KG;Quilograma;
05111000;01/01/2016;;G;Grama;
05119110;01/01/2016;;KG;Quilograma;
05119190;01/01/2016;;KG;Quilograma;
05119910;01/01/2016;;KG;Quilograma;
05119920;01/01/2016;;KG;Quilograma;
05119930;01/01/2016;;KG;Quilograma;
05119991;01/01/2016;;KG;Quilograma;
05119999;01/01/2016;;KG;Quilograma;
06011000;01/01/2016;;UN;Unidade;
06012000;01/01/2016;;UN;Unidade;
06021000;01/01/2016;;UN;Unidade;
06022000;01/01/2016;;UN;Unidade;
06023000;01/01/2016;;UN;Unidade;
06024000;01/01/2016;;UN;Unidade;
06029010;01/01/2016;;KG;Quilograma;
06029021;01/01/2016;;UN;Unidade;
06029029;01/01/2016;;UN;Unidade;
06029081;01/01/2016;;UN;Unidade;
06029082;01/01/2016;;UN;Unidade;
06029083;01/01/2016;;UN;Unidade;
06029089;01/01/2016;;UN;Unidade;
06029090;01/01/2016;;UN;Unidade;
06031100;01/01/2016;;DUZIA;Duzia;
06031200;01/01/2016;;DUZIA;Duzia;
06031300;01/01/2016;;DUZIA;Duzia;
06031400;01/01/2016;;DUZIA;Duzia;
06031500;01/01/2016;;DUZIA;Duzia;
06031900;01/01/2016;;DUZIA;Duzia;
06039000;01/01/2016;;KG;Quilograma;
06042000;01/01/2016;;KG;Quilograma;
06049000;01/01/2016;;KG;Quilograma;
07011000;01/01/2016;;KG;Quilograma;
07019000;01/01/2016;;KG;Quilograma;
07020000;01/01/2016;;KG;Quilograma;
07031011;01/01/2016;;KG;Quilograma;
07031019;01/01/2016;;KG;Quilograma;
07031021;01/01/2016;;KG;Quilograma;
07031029;01/01/2016;;KG;Quilograma;
07032010;01/01/2016;;KG;Quilograma;
07032090;01/01/2016;;KG;Quilograma;
07039010;01/01/2016;;KG;Quilograma;
07039090;01/01/2016;;KG;Quilograma;
07041000;01/01/2016;;KG;Quilograma;
07042000;01/01/2016;;KG;Quilograma;
07049000;01/01/2016;;KG;Quilograma;
07051100;01/01/2016;;KG;Quilograma;
07051900;01/01/2016;;KG;Quilograma;
07052100;01/01/2016;;KG;Quilograma;
07052900;01/01/2016;;KG;Quilograma;
07061000;01/01/2016;;KG;Quilograma;
07069000;01/01/2016;;KG;Quilograma;
07070000;01/01/2016;;KG;Quilograma;
07081000;01/01/2016;;KG;Quilograma;
07082000;01/01/2016;;KG;Quilograma;
07089000;01/01/2016;;KG;Quilograma;
07092000;01/01/2016;;KG;Quilograma;
07093000;01/01/2016;;KG;Quilograma;
07094000;01/01/2016;;KG;Quilograma;
07095100;01/01/2016;;KG;Quilograma;
07095200;01/04/2022;;KG;Quilograma;
07095300;01/04/2022;;KG;Quilograma;
07095400;01/04/2022;;KG;Quilograma;
07095500;01/04/2022;;KG;Quilograma;
07095600;01/04/2022;;KG;Quilograma;
07095900;01/01/2016;;KG;Quilograma;
07096000;01/01/2016;;KG;Quilograma;
07097000;01/01/2016;;KG;Quilograma;
07099100;01/01/2016;;KG;Quilograma;
07099200;01/01/2016;;KG;Quilograma;
07099300;01/01/2016;;KG;Quilograma;
07099911;01/01/2016;;KG;Quilograma;
07099919;01/01/2016;;KG;Quilograma;
07099990;01/01/2016;;KG;Quilograma;
07101000;01/01/2016;;KG;Quilograma;
07102100;01/01/2016;;KG;Quilograma;
07102200;01/01/2016;;KG;Quilograma;
07102900;01/01/2016;;KG;Quilograma;
07103000;01/01/2016;;KG;Quilograma;
07104000;01/01/2016;;KG;Quilograma;
07108000;01/01/2016;;KG;Quilograma;
07109000;01/01/2016;;KG;Quilograma;
07112010;01/01/2016;;KG;Quilograma;
07112020;01/01/2016;;KG;Quilograma;
07112090;01/01/2016;;KG;Quilograma;
07114000;01/01/2016;;KG;Quilograma;
07115100;01/01/2016;;KG;Quilograma;
07115900;01/01/2016;;KG;Quilograma;
07119000;01/01/2016;;KG;Quilograma;
07122000;01/01/2016;;KG;Quilograma;
07123100;01/01/2016;;KG;Quilograma;
07123200;01/01/2016;;KG;Quilograma;
07123300;01/01/2016;;KG;Quilograma;
07123400;01/04/2022;;KG;Quilograma;
07123900;01/01/2016;;KG;Quilograma;
07129010;01/01/2016;;KG;Quilograma;
07129090;01/01/2016;;KG;Quilograma;
07131010;01/01/2016;;KG;Quilograma;
07131090;01/01/2016;;KG;Quilograma;
07132010;01/01/2016;;KG;Quilograma;
07132090;01/01/2016;;KG;Quilograma;
07133110;01/01/2016;;KG;Quilograma;
07133190;01/01/2016;;KG;Quilograma;
07133210;01/01/2016;;KG;Quilograma;
07133290;01/01/2016;;KG;Quilograma;
07133311;01/01/2016;;KG;Quilograma;
07133319;01/01/2016;;KG;Quilograma;
07133321;01/01/2016;;KG;Quilograma;
